# 수원시 행정동 중심좌표 (WGS84)
# 출처: Google Places API 법정동 좌표 기반, 행정동 분할은 소폭 오프셋 적용
# bbox 및 area_km2는 Phase 1에서 미사용 → 빈 칸 유지
# 생성일: 2026-04-13
region_code,sido,sigungu,emd,center_lng,center_lat,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat,area_km2
4111151500,경기도,수원시 장안구,파장동,126.9882,37.3161,,,,,,
4111151600,경기도,수원시 장안구,율천동,126.9692,37.3037,,,,,,
4111153000,경기도,수원시 장안구,정자1동,126.9905,37.2986,,,,,,
4111153100,경기도,수원시 장안구,정자2동,126.9935,37.2966,,,,,,
4111153200,경기도,수원시 장안구,정자3동,126.9945,37.2956,,,,,,
4111154000,경기도,수원시 장안구,영화동,127.0132,37.2909,,,,,,
4111155000,경기도,수원시 장안구,송죽동,127.0041,37.3038,,,,,,
4111156000,경기도,수원시 장안구,조원1동,127.0131,37.3050,,,,,,
4111156100,경기도,수원시 장안구,조원2동,127.0171,37.3030,,,,,,
4111157000,경기도,수원시 장안구,연무동,127.0276,37.2942,,,,,,
4111351000,경기도,수원시 권선구,세류1동,127.0078,37.2558,,,,,,
4111351100,경기도,수원시 권선구,세류2동,127.0108,37.2538,,,,,,
4111351200,경기도,수원시 권선구,세류3동,127.0128,37.2528,,,,,,
4111352000,경기도,수원시 권선구,평동,126.9782,37.2465,,,,,,
4111353000,경기도,수원시 권선구,서둔동,126.9801,37.2689,,,,,,
4111354000,경기도,수원시 권선구,구운동,126.9704,37.2806,,,,,,
4111355000,경기도,수원시 권선구,금곡동,126.9455,37.2742,,,,,,
4111356000,경기도,수원시 권선구,호매실동,126.9530,37.2625,,,,,,
4111357000,경기도,수원시 권선구,권선1동,127.0249,37.2510,,,,,,
4111357100,경기도,수원시 권선구,권선2동,127.0289,37.2490,,,,,,
4111551000,경기도,수원시 팔달구,매교동,127.0162,37.2680,,,,,,
4111552000,경기도,수원시 팔달구,매산동,127.0054,37.2686,,,,,,
4111553000,경기도,수원시 팔달구,고등동,127.0042,37.2743,,,,,,
4111554000,경기도,수원시 팔달구,화서1동,126.9922,37.2841,,,,,,
4111554100,경기도,수원시 팔달구,화서2동,126.9962,37.2821,,,,,,
4111555000,경기도,수원시 팔달구,지동,127.0250,37.2804,,,,,,
4111556000,경기도,수원시 팔달구,우만1동,127.0352,37.2848,,,,,,
4111557000,경기도,수원시 팔달구,인계동,127.0302,37.2687,,,,,,
4111751000,경기도,수원시 영통구,매탄1동,127.0404,37.2714,,,,,,
4111751100,경기도,수원시 영통구,매탄2동,127.0449,37.2657,,,,,,
4111751200,경기도,수원시 영통구,매탄3동,127.0489,37.2617,,,,,,
4111751300,경기도,수원시 영통구,매탄4동,127.0519,37.2587,,,,,,
4111752000,경기도,수원시 영통구,원천동,127.0569,37.2733,,,,,,
4111753000,경기도,수원시 영통구,영통1동,127.0694,37.2571,,,,,,
4111753100,경기도,수원시 영통구,영통2동,127.0724,37.2551,,,,,,
4111753200,경기도,수원시 영통구,영통3동,127.0754,37.2531,,,,,,
4111754000,경기도,수원시 영통구,광교1동,127.0479,37.2981,,,,,,
4111754100,경기도,수원시 영통구,광교2동,127.0712,37.2868,,,,,,
